year,round_num,round_label,date,home,home_score,away,away_score,venue,url,home_win,score_diff,total_points
2024,3,Round 3,2024-03-23 04:00:00+00:00,Bulldogs,32,Titans,0,Belmore Sports Ground,https://www.nrl.com/draw/nrl-premiership/2024/round-3/bulldogs-v-titans/,1,32,32
2024,3,Round 3,2024-03-23 06:30:00+00:00,Dragons,24,Cowboys,46,Netstrata Jubilee Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-3/dragons-v-cowboys/,0,-22,70
2024,3,Round 3,2024-03-23 08:35:00+00:00,Wests Tigers,32,Sharks,6,Leichhardt Oval,https://www.nrl.com/draw/nrl-premiership/2024/round-3/wests-tigers-v-sharks/,1,26,38
2024,3,Round 3,2024-03-24 05:05:00+00:00,Eels,28,Sea Eagles,24,CommBank Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-3/eels-v-sea-eagles/,1,4,52
2024,3,Round 3,2024-03-24 07:15:00+00:00,Knights,14,Storm,12,McDonald Jones Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-3/knights-v-storm/,1,2,26
2024,30,Finals Week 3,2024-09-27 09:50:00+00:00,Storm,48,Roosters,18,AAMI Park,https://www.nrl.com/draw/nrl-premiership/2024/finals-week-3/game-1/,1,30,66
2024,30,Finals Week 3,2024-09-28 09:50:00+00:00,Panthers,26,Sharks,6,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/finals-week-3/game-2/,1,20,32
2024,31,Grand Final,2024-10-06 08:30:00+00:00,Storm,6,Panthers,14,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/grand-final/storm-v-panthers/,0,-8,20
2024,32,Grand Final,2024-10-06 08:30:00+00:00,Storm,6,Panthers,14,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/grand-final/storm-v-panthers/,0,-8,20
2024,33,Grand Final,2024-10-06 08:30:00+00:00,Storm,6,Panthers,14,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/grand-final/storm-v-panthers/,0,-8,20
2024,4,Round 4,2024-03-28 09:00:00+00:00,Roosters,16,Panthers,22,Allianz Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-4/roosters-v-panthers/,0,-6,38
2024,4,Round 4,2024-03-29 05:05:00+00:00,Rabbitohs,20,Bulldogs,16,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-4/rabbitohs-v-bulldogs/,1,4,36
2024,4,Round 4,2024-03-29 09:00:00+00:00,Broncos,38,Cowboys,12,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-4/broncos-v-cowboys/,1,26,50
